Time,StepCount,cgShipMotion.ned.north [57 real output],cgShipMotion.ned.east [58 real output],cgShipMotion.ned.down [59 real output],cgShipMotion.angularDisplacement.yaw [73 real output],cgShipMotion.angularDisplacement.pitch [70 real output],cgShipMotion.angularDisplacement.roll [67 real output]
908.25,18165,49.8552,29.8117,-1.02626,125.415,0.0534074,0.0756844
908.35,18167,49.6863,29.9844,-1.02578,124.915,0.0595543,0.177303
908.45,18169,49.5183,30.1581,-1.02528,124.414,0.0654153,0.274586
908.55,18171,49.3514,30.3328,-1.02477,123.913,0.0709262,0.366806
908.65,18173,49.1854,30.5085,-1.02426,123.411,0.0760284,0.453306
908.75,18175,49.0206,30.6853,-1.02375,122.908,0.0806671,0.533477
908.85,18177,48.8568,30.863,-1.02325,122.405,0.084795,0.606793
908.95,18179,48.6941,31.0418,-1.02276,121.902,0.0883705,0.6728
909.05,18181,48.5325,31.2216,-1.02229,121.398,0.0913581,0.731104
909.15,18183,48.3721,31.4024,-1.02185,120.895,0.0937291,0.781385
909.25,18185,48.2129,31.5842,-1.02144,120.392,0.0954633,0.82342
909.35,18187,48.0549,31.767,-1.02107,119.888,0.0965474,0.857062
909.45,18189,47.898,31.9508,-1.02075,119.385,0.0969741,0.882217
909.55,18191,47.7424,32.1356,-1.02047,118.883,0.0967473,0.898927
909.65,18193,47.5881,32.3215,-1.02024,118.381,0.0958753,0.90727
909.75,18195,47.435,32.5083,-1.02007,117.879,0.0943722,0.907382
909.85,18197,47.2833,32.6961,-1.01995,117.378,0.0922616,0.899517
909.95,18199,47.1328,32.8848,-1.01989,116.877,0.0895736,0.883995
910.05,18201,46.9837,33.0746,-1.01989,116.377,0.0863423,0.861176
910.15,18203,46.8359,33.2652,-1.01994,115.878,0.0826086,0.8315
910.25,18205,46.6894,33.4569,-1.02005,115.379,0.078418,0.795465
910.35,18207,46.5443,33.6495,-1.02022,114.882,0.0738178,0.753581
910.45,18209,46.4006,33.843,-1.02044,114.385,0.0688624,0.706461
910.55,18211,46.2583,34.0374,-1.0207,113.889,0.063607,0.654722
910.65,18213,46.1174,34.2327,-1.02102,113.394,0.0581087,0.599008
910.75,18215,45.9779,34.429,-1.02137,112.899,0.0524287,0.540028
910.85,18217,45.8398,34.6261,-1.02176,112.406,0.0466261,0.478465
910.95,18219,45.7032,34.824,-1.02219,111.913,0.0407628,0.415049
911.05,18221,45.568,35.0229,-1.02263,111.421,0.0348975,0.350482
911.15,18223,45.4343,35.2226,-1.0231,110.93,0.0290896,0.285485
911.25,18225,45.302,35.4231,-1.02359,110.44,0.0233961,0.220764
911.35,18227,45.1712,35.6244,-1.02408,109.951,0.0178729,0.157022
911.45,18229,45.0419,35.8266,-1.02457,109.462,0.0125715,0.0949205
911.55,18231,44.914,36.0295,-1.02506,108.975,0.00754085,0.0351016
911.65,18233,44.7877,36.2332,-1.02554,108.488,0.00282704,-0.0218169
911.75,18235,44.6628,36.4377,-1.026,108.001,-0.00153057,-0.0752875
911.85,18237,44.5395,36.643,-1.02645,107.516,-0.00549374,-0.124766
911.95,18239,44.4177,36.849,-1.02686,107.031,-0.00902931,-0.169764
912.05,18241,44.2973,37.0557,-1.02725,106.547,-0.0121113,-0.209874
912.15,18243,44.1785,37.2631,-1.0276,106.063,-0.0147173,-0.244728
912.25,18245,44.0613,37.4712,-1.02791,105.58,-0.0168296,-0.274005
912.35,18247,43.9455,37.68,-1.02818,105.098,-0.0184361,-0.297456
912.45,18249,43.8313,37.8895,-1.02841,104.616,-0.0195286,-0.314877
912.55,18251,43.7186,38.0997,-1.02859,104.134,-0.0201066,-0.326162
912.65,18253,43.6075,38.3105,-1.02872,103.653,-0.0201715,-0.331225
912.75,18255,43.4979,38.522,-1.0288,103.173,-0.0197309,-0.330066
912.85,18257,43.3899,38.7341,-1.02882,102.693,-0.0187968,-0.322741
912.95,18259,43.2834,38.9468,-1.0288,102.214,-0.0173878,-0.309389
913.05,18261,43.1785,39.1602,-1.02873,101.734,-0.0155236,-0.290173
913.15,18263,43.0752,39.3741,-1.02861,101.256,-0.0132305,-0.265343
913.25,18265,42.9734,39.5886,-1.02844,100.777,-0.0105349,-0.235158
913.35,18267,42.8732,39.8037,-1.02823,100.3,-0.00746935,-0.199963
913.45,18269,42.7746,40.0194,-1.02797,99.8221,-0.00406787,-0.160131
913.55,18271,42.6776,40.2356,-1.02768,99.345,-0.000369292,-0.1161
913.65,18273,42.5822,40.4524,-1.02735,98.8684,0.00358908,-0.0682987
913.75,18275,42.4883,40.6697,-1.02698,98.3923,0.00776607,-0.017215
913.85,18277,42.3961,40.8876,-1.02659,97.9166,0.0121195,0.0366437
913.95,18279,42.3055,41.106,-1.02618,97.4415,0.0166063,0.092751
914.05,18281,42.2165,41.3249,-1.02575,96.967,0.0211833,0.150569
914.15,18283,42.1291,41.5443,-1.0253,96.493,0.0258065,0.209549
914.25,18285,42.0433,41.7642,-1.02485,96.0196,0.0304329,0.26914
914.35,18287,41.9592,41.9846,-1.02438,95.5469,0.0350198,0.328793
914.45,18289,41.8766,42.2055,-1.02393,95.0749,0.039526,0.387973
914.55,18291,41.7958,42.4269,-1.02347,94.6037,0.0439115,0.446152
914.65,18293,41.7165,42.6488,-1.02303,94.1332,0.048138,0.502821
914.75,18295,41.639,42.8711,-1.0226,93.6637,0.0521697,0.557496
914.85,18297,41.563,43.0939,-1.02218,93.1951,0.0559732,0.609719
914.95,18299,41.4888,43.3171,-1.0218,92.7275,0.0595177,0.659066
915.05,18301,41.4162,43.5408,-1.02143,92.2609,0.0627755,0.705143
915.15,18303,41.3452,43.765,-1.0211,91.7954,0.0657224,0.747599
915.25,18305,41.276,43.9895,-1.02081,91.3311,0.0683374,0.78612
915.35,18307,41.2084,44.2145,-1.02054,90.868,0.0706029,0.820435
915.45,18309,41.1425,44.4399,-1.02032,90.4062,0.0725055,0.85032
915.55,18311,41.0783,44.6658,-1.02014,89.9458,0.0740356,0.8756
915.65,18313,41.0157,44.892,-1.02,89.4868,0.0751874,0.896142
915.75,18315,40.9549,45.1187,-1.0199,89.0292,0.0759587,0.911861
915.85,18317,40.8957,45.3457,-1.01985,88.5731,0.0763515,0.922722
915.95,18319,40.8383,45.5732,-1.01984,88.1187,0.0763718,0.928738
916.05,18321,40.7825,45.801,-1.01987,87.6659,0.0760291,0.92997
916.15,18323,40.7285,46.0292,-1.01995,87.2147,0.0753364,0.926519
916.25,18325,40.6761,46.2578,-1.02006,86.7653,0.0743104,0.918534
916.35,18327,40.6254,46.4868,-1.02022,86.3176,0.0729708,0.906205
916.45,18329,40.5765,46.7161,-1.02042,85.8718,0.0713402,0.889758
916.55,18331,40.5292,46.9458,-1.02065,85.4279,0.069444,0.869457
916.65,18333,40.4837,47.1759,-1.02091,84.9858,0.0673097,0.8456
916.75,18335,40.4398,47.4062,-1.02121,84.5457,0.0649669,0.818511
916.85,18337,40.3977,47.637,-1.02153,84.1075,0.062447,0.788544
916.95,18339,40.3572,47.868,-1.02188,83.6713,0.0597828,0.756075
917.05,18341,40.3185,48.0994,-1.02224,83.2372,0.0570076,0.721496
917.15,18343,40.2814,48.3312,-1.02262,82.8051,0.0541559,0.685216
917.25,18345,40.246,48.5632,-1.02301,82.3751,0.0512618,0.647653
917.35,18347,40.2124,48.7956,-1.02342,81.9471,0.0483594,0.609229
917.45,18349,40.1804,49.0282,-1.02382,81.5213,0.0454824,0.57037
917.55,18351,40.1501,49.2612,-1.02423,81.0975,0.0426634,0.531502
917.65,18353,40.1215,49.4945,-1.02463,80.6759,0.0399339,0.49304
917.75,18355,40.0946,49.728,-1.02502,80.2565,0.0373235,0.45539
917.85,18357,40.0693,49.9619,-1.02541,79.8391,0.0348604,0.418947
917.95,18359,40.0457,50.196,-1.02578,79.424,0.0325703,0.384083
918.05,18361,40.0238,50.4304,-1.02613,79.011,0.0304767,0.351153
918.15,18363,40.0036,50.6651,-1.02646,78.6001,0.0286003,0.320485
918.25,18365,39.9851,50.9001,-1.02676,78.1915,0.0269592,0.292378
918.35,18367,39.9682,51.1353,-1.02704,77.785,0.025569,0.267111
918.45,18369,39.9529,51.3708,-1.02729,77.3807,0.0244417,0.24492
918.55,18371,39.9394,51.6066,-1.02751,76.9785,0.023587,0.226016
918.65,18373,39.9275,51.8426,-1.0277,76.5785,0.0230106,0.210564
918.75,18375,39.9172,52.0788,-1.02785,76.1808,0.0227159,0.198703
918.85,18377,39.9086,52.3153,-1.02797,75.7852,0.0227031,0.190529
918.95,18379,39.9016,52.5521,-1.02805,75.3918,0.0229688,0.186106
919.05,18381,39.8963,52.7891,-1.0281,75.0006,0.0235065,0.185464
919.15,18383,39.8926,53.0263,-1.02811,74.6116,0.0243072,0.188598
919.25,18385,39.8906,53.2638,-1.02809,74.2249,0.0253591,0.195464
919.35,18387,39.8902,53.5015,-1.02803,73.8404,0.0266485,0.205983
919.45,18389,39.8915,53.7394,-1.02795,73.4582,0.0281595,0.22004
919.55,18391,39.8943,53.9775,-1.02782,73.0783,0.0298744,0.237487
919.65,18393,39.8988,54.2158,-1.02767,72.7007,0.031774,0.258144
919.75,18395,39.905,54.4544,-1.02749,72.3255,0.0338376,0.281802
919.85,18397,39.9128,54.6932,-1.02729,71.9526,0.0360432,0.30822
919.95,18399,39.9222,54.9322,-1.02706,71.582,0.0383682,0.337138
920.05,18401,39.9332,55.1713,-1.02681,71.2139,0.0407891,0.368273
