time, stepNumber, cgShipMotion.ned.north [REAL OUTPUT], cgShipMotion.ned.east [REAL OUTPUT], cgShipMotion.ned.down [REAL OUTPUT], cgShipMotion.angularDisplacement.yaw [REAL OUTPUT], cgShipMotion.angularDisplacement.pitch [REAL OUTPUT], cgShipMotion.angularDisplacement.roll [REAL OUTPUT], cgShipMotion.linearVelocity.surge [REAL OUTPUT], cgShipMotion.linearVelocity.sway [REAL OUTPUT], cgShipMotion.angularVelocity.yaw [REAL OUTPUT]
2758.00000000, 2758, 5343.294897581244, 39.89515915469019, -1.0240897373105624, 29.538566169903575, 0.002982709137469445, -0.07366831729894936, 2.091704536574586, -0.07760623502957735, 0.3229636777483885
2759.00000000, 2759, 5345.150402412831, 40.863840127313615, -1.0240899824103034, 29.861528517555715, 0.002981471814334141, -0.07344813780453208, 2.0917054335942606, -0.07760631386410174, 0.3229600970717262
2760.00000000, 2760, 5347.000418375023, 41.84296507977258, -1.0240901326538137, 30.184485736192986, 0.0029807449824673458, -0.07330888755692617, 2.0917063209394056, -0.07760619641577214, 0.3229542567837956
2761.00000000, 2761, 5348.844886685776, 42.8325028516787, -1.024090051227158, 30.50743869540883, 0.0029811765820096287, -0.0733778564634048, 2.091707176346648, -0.07760602023981719, 0.322951922315854
2762.00000000, 2762, 5350.683748757114, 43.83242188856289, -1.0240898314668676, 30.830392310124875, 0.0029822635983865675, -0.07357513719560531, 2.0917079790255286, -0.0776059695373788, 0.32295512397378856
2763.00000000, 2763, 5352.5169461531395, 44.84269035217889, -1.0240896919040048, 31.153350579570002, 0.002982912710483596, -0.07370409101192793, 2.091708735323236, -0.07760609594630612, 0.3229604777203308
2764.00000000, 2764, 5354.344420578397, 45.86327618120474, -1.0240897597518246, 31.476312827536873, 0.002982527570275884, -0.0736467900995469, 2.091709473323232, -0.07760627758321419, 0.3229627622455916
2765.00000000, 2765, 5356.166113904013, 46.8941470453485, -1.0240899558418879, 31.79927467950665, 0.002981537228772769, -0.07347092972696764, 2.0917102095495204, -0.07760634919108084, 0.3229600668012252
2766.00000000, 2766, 5357.981968208151, 47.935270246920325, -1.0240900841164309, 32.122232481063165, 0.002980916473517221, -0.07335247421763819, 2.091710939730253, -0.07760626090595694, 0.3229553386918035
2767.00000000, 2767, 5359.7919257938665, 48.98661266938772, -1.0240900267722672, 32.44518672460986, 0.0029812224244385203, -0.0734005168809302, 2.091711642859477, -0.0776061181786869, 0.32295325678286146
2768.00000000, 2768, 5361.595929167138, 50.04814081602556, -1.0240898510287093, 32.76814130208309, 0.002982089249088951, -0.07355796116627557, 2.09171229945978, -0.07760607152403834, 0.3229556708350825
2769.00000000, 2769, 5363.393921004306, 51.11982090061884, -1.024089732312104, 33.09109955355673, 0.002982644361532045, -0.07366742134109436, 2.091712920186906, -0.07760616861992711, 0.32295999907820755
2770.00000000, 2770, 5365.185844139949, 52.20161889967941, -1.0240897796649064, 33.41406111972018, 0.0029823735997619684, -0.07362812868244831, 2.0917135265474713, -0.07760631644471754, 0.32296201716675405
2771.00000000, 2771, 5366.971641584182, 53.29350051668339, -1.0240899361190707, 33.73702254996628, 0.0029815812144556504, -0.07348801369946394, 2.091714128571426, -0.07760638082314424, 0.32296001027685844
2772.00000000, 2772, 5368.7512565601655, 54.39543110620279, -1.02409004479691, 34.05998079105775, 0.0029810513344249844, -0.07338774665484273, 2.0917147271990952, -0.07760631489314096, 0.3229561886275291
2773.00000000, 2773, 5370.524632521829, 55.507375629997135, -1.0240900053964392, 34.382936071417916, 0.002981264260873966, -0.07342029863809496, 2.0917153025528705, -0.0776061995825638, 0.32295435529757294
2774.00000000, 2774, 5372.291713139121, 56.6292986861697, -1.0240898655234947, 34.70589145518993, 0.00298195858757556, -0.07354565535145392, 2.0917158465798624, -0.07760615678771951, 0.3229561479241895
2775.00000000, 2775, 5374.052442266333, 57.76116457903232, -1.0240897651161716, 35.02884972639531, 0.0029824311601924897, -0.07363814469664993, 2.0917163575554576, -0.07760623081237045, 0.3229596389240964
2776.00000000, 2776, 5375.806763928288, 58.902937362240124, -1.0240897968903462, 35.35181075118946, 0.0029822405277409743, -0.07361210585932519, 2.0917168549557785, -0.07760635101950582, 0.3229614073668293
2777.00000000, 2777, 5377.554622338852, 60.05458081754631, -1.0240899213688097, 35.67477180748266, 0.002981608915742263, -0.07350074085642747, 2.0917173503984157, -0.07760640748490216, 0.322959914689731
2778.00000000, 2778, 5379.294549373301, 61.21740476731807, -1.024066657479223, 35.930437577906886, 0.002717318369994306, -0.11665438819285714, 2.0911292427489165, -0.07200322810623941, 0.2148923778601952
2779.00000000, 2779, 5381.024582852397, 62.39223951365158, -1.023972559989032, 36.04378711033544, 0.001972483090188239, -0.24558532385060516, 2.0893652561974836, -0.0610984597786237, 0.038920280089694614
2780.00000000, 2780, 5382.745376005259, 63.57653305517276, -1.0238869839094045, 35.98982081091403, 0.0011367974427080262, -0.37321065263795794, 2.0872321019011997, -0.04847128330749994, -0.13367582067321535
2781.00000000, 2781, 5384.460059354943, 64.76583502017724, -1.0239571076471112, 35.79459682406778, 9.53094665937343E-4, -0.34489784534941437, 2.0855282379207387, -0.036679198969497, -0.25656299888152256
2782.00000000, 2782, 5386.172000612472, 65.95619431583974, -1.0241361456888525, 35.49204078612242, 0.0017256239505917524, -0.13403937408839517, 2.08429993256133, -0.025389604308337324, -0.3480558852336034
2783.00000000, 2783, 5387.883790690601, 67.14474032228284, -1.0242299394250447, 35.11156854886992, 0.0029025829177766454, 0.09833800069448355, 2.0834478290825444, -0.014657406468178567, -0.41210507070522673
2784.00000000, 2784, 5389.59750440438, 68.32914922352268, -1.0241748394882193, 34.68004598437774, 0.0034480887733131385, 0.16671207305780292, 2.082875043910708, -0.00479557737035373, -0.4504043760002331
2785.00000000, 2785, 5391.314713901586, 69.50763027858939, -1.0240901957874124, 34.221846814422456, 0.002864319322019176, 0.044116699763493604, 2.0825244563044873, 0.0040463555605805305, -0.46590209233319985
2786.00000000, 2786, 5393.036557592554, 70.67891762594101, -1.0240853944910295, 33.7568626168825, 0.0019376220835140056, -0.11938464802032125, 2.082373048217124, 0.011773330316546649, -0.4650095004394474
2787.00000000, 2787, 5394.763763725701, 71.84220172772915, -1.0241310448232241, 33.296695840812845, 0.0018650319011634794, -0.15007651595969615, 2.0823485753960327, 0.01851589338481147, -0.457023091669154
2788.00000000, 2788, 5396.496729518114, 72.997005901955, -1.0241344845801468, 32.84448137296911, 0.00282400535649672, -0.01681795050333524, 2.082389499020794, 0.024514013332754752, -0.4491443142291108
2789.00000000, 2789, 5398.235657918969, 74.1430380982658, -1.0240759104428874, 32.39895391757334, 0.0038558972831808083, 0.15009783143362002, 2.082462441905348, 0.029986371080499345, -0.44308471568829677
2790.00000000, 2790, 5399.980673423177, 75.28007541484058, -1.0240280518202252, 31.959646470382992, 0.003993880525154897, 0.19513892191415155, 2.0825606337466374, 0.03499872707671704, -0.4361093111598622
2791.00000000, 2791, 5401.731879634626, 76.40791042821081, -1.0240569003252324, 31.529135990443113, 0.00320159157863947, 0.08824698852206056, 2.082688068926284, 0.03948150843394424, -0.42541606817389777
2792.00000000, 2792, 5403.489349493343, 77.52636952001926, -1.0241364071084165, 31.111015751735142, 0.002312445446583304, -0.05461101654122504, 2.0828424081295616, 0.04337565311578286, -0.4117586515550963
2793.00000000, 2793, 5405.253091754785, 78.635353168324, -1.024176454341236, 30.706297904212224, 0.002179324874518781, -0.09172577335508152, 2.083008632625861, 0.04674759229091069, -0.39901505738464155
2794.00000000, 2794, 5407.0230496923805, 79.73483324475502, -1.0241261824518644, 30.312150619773675, 0.002860125450177957, 0.007672512887908573, 2.0831687828264163, 0.04976685432094172, -0.3905397247587071
2795.00000000, 2795, 5408.799143348944, 80.8248011516726, -1.0240331341806082, 29.924186010603858, 0.0036419674836953597, 0.14179381221494453, 2.083317188410301, 0.05258176406493773, -0.3861247559070352
2796.00000000, 2796, 5410.58131912671, 81.90521238874135, -1.023993879200711, 29.539999709925336, 0.003793976985638338, 0.1824719324446408, 2.083463635865952, 0.05521726516357893, -0.3824592276225056
2797.00000000, 2797, 5412.3695644333075, 82.97597365061695, -1.0240511351949446, 29.16059949867731, 0.003232703363540196, 0.09920465186667844, 2.0836221786210296, 0.057592439266371004, -0.3764666597949067
2798.00000000, 2798, 5414.163877931406, 84.03698223296287, -1.024147522117741, 28.7885111855484, 0.0025424732870475684, -0.018440116320408945, 2.083797376992934, 0.059635850178628325, -0.36818146284393094
2799.00000000, 2799, 5415.964228168417, 85.08817626098686, -1.024184726382407, 28.4246155333771, 0.002387766035189034, -0.054447470816618875, 2.083979804257451, 0.06137916121484438, -0.36043639821458245
2800.00000000, 2800, 5417.770542849557, 86.12954272702116, -1.0241250932365453, 28.066849663173947, 0.0028715448835094897, 0.021266406987714773, 2.084155224532449, 0.0629411251945931, -0.35590000278945344
2801.00000000, 2801, 5419.582736560946, 87.1610790667111, -1.024029312825072, 27.711860176356378, 0.0034835084636262027, 0.13011696835337525, 2.0843184719087176, 0.06442837677773568, -0.35449030963599254
2802.00000000, 2802, 5421.400747162176, 88.18274895344459, -1.0239933131602865, 27.357822636944633, 0.0036413107428183494, 0.16723719376676716, 2.0844773574279256, 0.06585269930330148, -0.35358596592658187
2803.00000000, 2803, 5423.224546364754, 89.19447295399293, -1.024051354934625, 27.005671408201813, 0.003233502867177514, 0.10324385226610291, 2.084643871986864, 0.06714183000475603, -0.3506495127115069
2804.00000000, 2804, 5425.054116208796, 90.19616235330862, -1.0241435809789814, 26.65765361697332, 0.002685977054992218, 0.0070461571799677715, 2.084822373608206, 0.06822922459861228, -0.3456049090962604
2805.00000000, 2805, 5426.889416148728, 91.1877621190785, -1.0241783926446792, 26.314764972762582, 0.002529438123572989, -0.02660910616664809, 2.085005397892664, 0.06913052247629381, -0.3407008135444683
2806.00000000, 2806, 5428.730373510752, 92.16925902682154, -1.0241240618191723, 25.975599653068958, 0.0028825114107735882, 0.030800441333819564, 2.085180959947528, 0.06993372738739818, -0.3381706051190554
2807.00000000, 2807, 5430.57690437883, 93.14065000613769, -1.0240373632049091, 25.637596604858153, 0.00336914773041581, 0.11898198377813404, 2.085344168593186, 0.0707206136911414, -0.3380794327821115
2808.00000000, 2808, 5432.42894230106, 94.10190439399474, -1.0240040743344105, 25.29932339236452, 0.003519955487759121, 0.15242092535586566, 2.0855010451305014, 0.07149885555300715, -0.3383847640789776
2809.00000000, 2809, 5434.286447487735, 95.05295510273885, -1.0240540597472096, 24.961557857721427, 0.003217098198452983, 0.10361737947848981, 2.0856616613680217, 0.07220785731268838, -0.3370039861710772
2810.00000000, 2810, 5436.149389301028, 95.99372613956876, -1.024134925852095, 24.626206887731286, 0.0027780285292135346, 0.025285600219799385, 2.085830174725424, 0.07278908297858475, -0.3337856560582847
2811.00000000, 2811, 5438.017720573485, 96.92416870404017, -1.0241670354833246, 24.294238879954463, 0.0026297386055542087, -0.005426135833644632, 2.08600096008248, 0.07324894472999226, -0.33050098427185376
2812.00000000, 2812, 5439.8913692164515, 97.84426929995625, -1.0241221673084668, 23.964676518697548, 0.002891227023107777, 0.037870478775072956, 2.086164281885095, 0.07365386558204268, -0.32900448669286364
2813.00000000, 2813, 5441.770253618193, 98.75402419577648, -1.0240479403967522, 23.63552741076211, 0.0032813574253171517, 0.10918373030908798, 2.086315814633474, 0.0740682550604789, -0.329448728434291
2814.00000000, 2814, 5443.6543050749, 99.65340745624384, -1.0240175238267966, 23.305628129965882, 0.0034203279976440294, 0.13897585907008667, 2.0864602230222498, 0.0744984941966059, -0.33024282323597687
2815.00000000, 2815, 5445.5434757641615, 100.54236247882871, -1.0240577011809695, 22.975587540798603, 0.0031936114058641494, 0.102052894243541, 2.086605886512884, 0.07489508124634789, -0.3296759577558651
2816.00000000, 2816, 5447.437725929267, 101.42082404555761, -1.024125805275095, 22.64698554607925, 0.0028400255319102146, 0.03850210016135294, 2.0867566751949274, 0.07520779443165192, -0.32754785053863356
2817.00000000, 2817, 5449.3370039686515, 102.28874851433518, -1.0241548837205483, 22.320709088387506, 0.0027042642282491345, 0.010973214167622045, 2.086908441585139, 0.07543752184719055, -0.3252448769977293
2818.00000000, 2818, 5451.241239105938, 103.1461218161267, -1.0241195510996566, 21.996076284522793, 0.002899024121034414, 0.04342781966080475, 2.0870533616025395, 0.07563486497450586, -0.3242991854135054
2819.00000000, 2819, 5453.150352528381, 103.99293917835338, -1.0240577617221522, 21.671523587904613, 0.0032129431749995095, 0.10099732220590515, 2.087187686269874, 0.07585133304909257, -0.3249124621812661
2820.00000000, 2820, 5455.064274763147, 104.82917824934763, -1.024030405223453, 21.346090392186163, 0.0033383267974353968, 0.1272825434555118, 2.0873149808317146, 0.07609303440834111, -0.3258486360838608
2821.00000000, 2821, 5456.98295252405, 105.65479103932086, -1.0240615404874638, 21.020235603294786, 0.0031683948081400615, 0.0995822511480202, 2.0874421405636405, 0.07632021028640765, -0.32570406755655423
2822.00000000, 2822, 5458.906339485499, 106.46972137350527, -1.0241177011227436, 20.695250238765283, 0.0028832881885795534, 0.048187642333458854, 2.0875726565688253, 0.07649045300311078, -0.3242525239252806
2823.00000000, 2823, 5460.834380959353, 107.27393002530223, -1.0241436185343173, 20.371921143794626, 0.0027615525184959727, 0.023846850381497833, 2.0877035092030773, 0.07660142410207255, -0.3225738067827235
2824.00000000, 2824, 5462.767007596813, 108.06740242106076, -1.0241165537061856, 20.049774710684808, 0.0029066012847190313, 0.047998887445026304, 2.0878284391922928, 0.07669187776686216, -0.32192890061186147
2825.00000000, 2825, 5464.704143306632, 108.8501327252554, -1.0240659049612035, 19.72757806360433, 0.0031594513025707477, 0.09438516430510006, 2.087944209540231, 0.07680338189306908, -0.3225428111982904
2826.00000000, 2826, 5466.645718608745, 109.62210138378495, -1.0240416449192116, 19.40453115634628, 0.0032709322916813135, 0.11737533585952195, 2.088053508540756, 0.07694205565892723, -0.3234581806271387
2827.00000000, 2827, 5468.591676447035, 110.3832675506924, -1.0240652290232661, 19.08096902743602, 0.003143935219172826, 0.09678462879508136, 2.0881619601531605, 0.07707635468280975, -0.3235254302734019
2828.00000000, 2828, 5470.541965657833, 111.1335827575854, -1.0241109935315604, 18.75793669928701, 0.0029141258713350285, 0.05534015321105052, 2.0882726494652477, 0.07717086145608297, -0.3225093861661287
2829.00000000, 2829, 5472.496529261022, 111.87301174505912, -1.024133797992028, 18.436118493302235, 0.002806514697873102, 0.034050248662249434, 2.0883833927422297, 0.07722145530140749, -0.32124715450347663
2830.00000000, 2830, 5474.455299134506, 112.60153972186576, -1.024113455191916, 18.115189190541635, 0.002914106800353653, 0.05186814237094506, 2.088489190502359, 0.07725789271427352, -0.32077311129093744
2831.00000000, 2831, 5476.418201552772, 113.3191599971705, -1.0240723178843447, 17.79417428864305, 0.003117666773409634, 0.08916841369733601, 2.088587264630907, 0.07731388571247372, -0.3213181801182488
2832.00000000, 2832, 5478.38516736533, 114.02585531720655, -1.0240510544340844, 17.472404803230408, 0.0032156838527009693, 0.10912144101025993, 2.088679610334095, 0.07739554482092506, -0.3221435434422887
2833.00000000, 2833, 5480.356136865365, 114.72159085159994, -1.0240686183952044, 17.150117661718532, 0.0031213242572987274, 0.09397504441800647, 2.0887707859028786, 0.07747807822154104, -0.32230959280137866
2834.00000000, 2834, 5482.331055248713, 115.40632479671807, -1.0241056399529282, 16.82815291707555, 0.0029363114338608384, 0.06064351393532635, 2.088863473462136, 0.07753213904599064, -0.3215840998510348
2835.00000000, 2835, 5484.30986373651, 116.08002557271716, -1.024125499138159, 16.50709785743362, 0.0028422056346632456, 0.04218662866604964, 2.0889561129573986, 0.07755273189555296, -0.3206129599206552
2836.00000000, 2836, 5486.292495144148, 116.74267853530257, -1.0241104443962894, 16.186733523674203, 0.0029214633731473576, 0.055193794226727946, 2.0890447201732054, 0.07756271500698803, -0.32024215440402487
2837.00000000, 2837, 5488.278877679737, 117.39427645295268, -1.0240772316957896, 15.866289030532633, 0.0030851258102522054, 0.08512470558693425, 2.089126917852001, 0.07758949300251637, -0.3206971383548394
2838.00000000, 2838, 5490.268942634647, 118.0348040712581, -1.024058772788443, 15.545204391234149, 0.0031705196615307322, 0.10232271743601982, 2.08920416342035, 0.07763904796755718, -0.32141007005455124
2839.00000000, 2839, 5492.262628407733, 118.66423170795228, -1.0240716579806304, 15.223641108192215, 0.0031009802899753724, 0.09131760447060025, 2.0892801320860603, 0.07769204526586702, -0.3216145941897061
2840.00000000, 2840, 5494.259877414168, 119.28252340044757, -1.0241014596960873, 14.90227084070982, 0.0029522854963119475, 0.06457920054547227, 2.0893571300618072, 0.07772431190759102, -0.3210893012718674
2841.00000000, 2841, 5496.260629413436, 119.88965104870871, -1.024118609063297, 14.581592836757254, 0.0028707023012623264, 0.04869733610290194, 2.089434062513632, 0.07773054652424016, -0.32033009835685106
2842.00000000, 2842, 5498.264817872457, 120.4856005217721, -1.0241076331520078, 14.261464219511115, 0.002928529753383013, 0.05807021004463402, 2.089507752406258, 0.07772828942186774, -0.32002700744364876
2843.00000000, 2843, 5500.272372512308, 121.0703643942194, -1.0240809334929357, 13.94127537918467, 0.0030598772076547696, 0.08203532763911336, 2.0895761785361975, 0.0777398306009289, -0.3203929069572369
2844.00000000, 2844, 5502.283225068706, 121.64392923898822, -1.0240650365707342, 13.620557896403563, 0.003133699852221045, 0.09676753133985513, 2.089640388518971, 0.07777089520736565, -0.32099335224203634
2845.00000000, 2845, 5504.2973125688495, 122.20626985114487, -1.0240743440538542, 13.299416669189227, 0.0030829876451071324, 0.08889044725151946, 2.0897033277541515, 0.07780650601045251, -0.32120466494430283
2846.00000000, 2846, 5506.314575283981, 122.75735544685983, -1.024098245320307, 12.978386360672426, 0.0029637167855632134, 0.06749436226363159, 2.0897669689788185, 0.07782684290736246, -0.3208210593400114
2847.00000000, 2847, 5508.334951763809, 123.29716125261493, -1.024112950791926, 12.657888345598785, 0.0028935046302770943, 0.05391571025608575, 2.0898305598433295, 0.0778266518820964, -0.3202213137427719
2848.00000000, 2848, 5510.358375890376, 123.82567398558133, -1.0241050786299113, 12.33783397786784, 0.0029351762285177796, 0.06056022437897546, 2.0898915708372146, 0.07781935918407047, -0.3199667628756266
2849.00000000, 2849, 5512.384778536103, 124.34288636880822, -1.0240836881766193, 12.017741726414739, 0.003040372616035646, 0.07970544854004546, 2.089948289677627, 0.07782308736172826, -0.3202536740517657
2850.00000000, 2850, 5514.414091833642, 124.84878671549193, -1.0240700896349366, 11.697220437268813, 0.0031037619805400615, 0.09225556525606614, 2.090001451987871, 0.07784320139220846, -0.3207513508132673
2851.00000000, 2851, 5516.44625181258, 125.34335377868602, -1.024076694095561, 11.376333440560167, 0.0030672677195978963, 0.08672305653235526, 2.090053416366853, 0.07786817204231128, -0.32095336918800577
2852.00000000, 2852, 5518.481197087234, 125.826561416799, -1.024095804621687, 11.055504706584173, 0.0029718046528587772, 0.06964408344086374, 2.0901058534123034, 0.07788181051998222, -0.3206721525864041
2853.00000000, 2853, 5520.518865197508, 126.29838805406271, -1.024108338555058, 10.735087871916907, 0.002911755304131987, 0.058099706756472566, 2.0901582604653353, 0.0778791190065776, -0.32019534420999934
2854.00000000, 2854, 5522.559190259211, 126.75882154424352, -1.0241028019051432, 10.415032572684096, 0.0029413073249464497, 0.06271108472006755, 2.0902086304444794, 0.07787033969867728, -0.31997847103102567
2855.00000000, 2855, 5524.602104000613, 127.20785507563612, -1.0240857158057313, 10.094959099597503, 0.0030253735922245186, 0.07797035972107341, 2.0902555162122107, 0.0778701901295144, -0.3201992140459196
2856.00000000, 2856, 5526.6475388917215, 127.6454786689489, -1.0240741510481273, 9.774541556792048, 0.003079482466372331, 0.08860810077826878, 2.0902994248860516, 0.0778836072549034, -0.32060732331979835
